user_location_city,travel_duration,days_in_advance,orig_destination_distance,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,clusters_2D
0,2.0,78.5,2315.8362500000003,1.75,0.0,1.0,2
3,4.5625,92.25,3550.0175,1.9375,0.5,1.0,2
7,14.0,58.0,5994.8640000000005,2.0,0.0,1.0,0
14,7.0,35.75,5342.8191,2.0,0.75,1.0,0
21,5.0,31.5,2165.7689,1.5,1.0,1.0,1
22,6.0,127.0,6759.0571,2.0,0.0,1.0,0
40,4.1,67.2,1525.8375,2.3,0.4,1.1,2
50,2.5714285714285716,54.07142857142857,2756.9866214285717,1.8571428571428572,0.21428571428571427,1.0,2
53,4.5,25.0,2267.866925,1.75,0.25,1.0,1
69,2.3333333333333335,55.0,499.0357333333333,1.6666666666666667,0.0,1.0,1
75,7.0,146.0,6830.392,2.0,0.0,1.0,0
76,2.9735099337748343,45.86754966887417,1650.4352562913907,1.9867549668874172,0.2913907284768212,1.1026490066225165,1
80,4.0,147.0,948.5665,2.0,2.0,1.0,2
94,3.090909090909091,70.81818181818181,1005.8240000000001,2.272727272727273,0.6363636363636364,1.2727272727272727,2
97,2.0,9.0,142.36700000000002,2.0,0.0,1.0,1
113,2.5,17.416666666666668,1566.48265,1.5,0.5833333333333334,1.0,1
120,4.166666666666667,65.16666666666667,1762.704425,2.0833333333333335,0.4583333333333333,1.2083333333333333,2
130,2.0,36.0,589.8816833333333,2.6666666666666665,0.6666666666666666,1.3333333333333333,1
136,3.189189189189189,58.86486486486486,2241.5163216216215,2.1621621621621623,0.40540540540540543,1.2432432432432432,2
146,7.333333333333333,106.66666666666667,667.0234166666667,2.0,0.8333333333333334,1.0,2
151,4.071428571428571,57.142857142857146,2072.873814285714,1.8571428571428572,0.35714285714285715,1.0714285714285714,2
152,6.5,138.0,3815.21625,2.5,0.0,1.0,0
165,3.0,22.0,4568.096750000001,1.5,0.0,1.0,0
207,2.6,11.6,1142.98414,2.0,0.6,1.0,1
210,1.0,17.0,58.2181,2.0,0.0,1.0,1
233,1.0,5.0,2764.8749,2.0,0.0,2.0,1
244,1.8571428571428572,26.0,997.3956357142857,2.142857142857143,0.35714285714285715,1.1428571428571428,1
246,1.8333333333333333,23.166666666666668,2295.43725,1.5,0.8333333333333334,1.1666666666666667,1
255,1.0,6.0,1674.9278,2.0,1.0,1.0,1
266,1.0,7.0,1815.7494,2.0,1.0,1.0,1
273,4.8,51.4,1389.9204,2.1,0.3,1.1,1
274,3.796875,63.09375,2086.8284375,2.0625,0.40625,1.078125,2
283,3.0,194.0,4851.1563,1.0,0.0,1.0,0
285,2.789473684210526,44.94736842105263,1713.2320526315789,1.894736842105263,0.2631578947368421,1.0,1
311,1.7142857142857142,11.428571428571429,891.7991857142858,1.5714285714285714,0.0,1.0,1
332,3.380952380952381,46.714285714285715,1642.7153142857144,1.9523809523809523,0.42857142857142855,1.0,1
380,6.0,3.0,107.864,2.0,0.0,1.0,1
385,4.310344827586207,51.793103448275865,1498.6246172413794,2.206896551724138,0.3103448275862069,1.1379310344827587,1
397,7.0,162.0,1138.7884,2.0,0.0,1.0,2
407,4.0,11.0,698.9054,2.0,0.0,1.0,1
408,4.5,95.5,2715.70405,2.0,0.0,1.0,2
431,3.875,63.875,1483.26355625,2.0625,0.25,1.1875,2
467,3.795918367346939,54.10204081632653,1547.2917897959182,2.204081632653061,0.24489795918367346,1.0816326530612246,1
476,12.0,208.0,5027.649,2.0,1.0,1.0,0
477,1.0,25.0,1060.6933,2.0,3.0,1.0,1
478,3.090909090909091,60.54545454545455,3130.1952863636366,2.0454545454545454,0.45454545454545453,1.0909090909090908,2
514,7.666666666666667,64.33333333333333,1846.6583333333335,2.0,0.6666666666666666,1.0,2
530,2.0,33.0,436.1816,3.0,0.0,1.0,1
536,1.0,38.0,287.5011,2.0,0.0,1.0,1
538,3.466666666666667,43.13333333333333,2129.7915066666665,1.8666666666666667,0.6,1.0666666666666667,1
560,3.6666666666666665,47.0,989.5025666666667,2.0,0.0,1.0,1
562,3.0,75.0,770.7491,3.0,1.0,2.0,2
568,4.3,74.0,1856.67474,1.8,0.3,1.5,2
576,2.4,82.4,4282.67574,2.0,0.8,1.0,0
586,6.333333333333333,109.0,3787.042366666667,2.6666666666666665,0.0,1.3333333333333333,0
620,3.4,40.4,1932.211165,1.7,0.35,1.0,1
657,2.8205128205128207,37.41025641025641,2087.73811025641,2.1538461538461537,0.48717948717948717,1.1538461538461537,1
696,1.0,25.0,93.5098,2.0,2.0,1.0,1
710,4.8,99.6,4238.235,2.4,0.2,1.2,0
775,2.7941176470588234,52.544117647058826,1124.1327455882354,2.0588235294117645,0.36764705882352944,1.1029411764705883,1
781,1.0,5.0,200.9503,1.0,0.0,1.0,1
787,3.357142857142857,99.21428571428571,2411.358642857143,1.7857142857142858,0.42857142857142855,1.0,2
820,2.0,3.0,172.638,2.0,0.0,1.0,1
842,4.5,68.5625,2380.80593125,1.9375,0.625,1.0,2
845,6.0,37.0,506.54814999999996,1.5,0.0,1.0,1
